Member #,Member Number,Given Name,Surname,Email,Phone #,Birthday,Sex,Membership Type,Status,Date Joined,Date Resigned,Household ID,Annual Fee,Current Balance,Handicap #,Mailings
mbr_217,217,Donald,Mack,donald.mack@outlook.com,(623) 555-9926,1969-02-08,F,FG,active,2024-10-26,,hh_109,18000,2934,,1
mbr_219,219,Ryan,Caldwell,ryan.caldwell@aol.com,(480) 555-5650,1977-12-04,F,FG,active,2025-03-10,,hh_110,18000,734,1186300,1
mbr_221,221,Gregory,Morales,gregory.morales@gmail.com,(602) 555-4717,1986-10-27,F,SOC,active,2025-08-22,,hh_111,6000,2036,7405300,1
mbr_223,223,Jessica,Chopra,jessica.chopra@yahoo.com,(520) 555-9441,1995-08-23,F,SPT,active,2025-01-05,,hh_112,12000,1114,,1
mbr_226,226,Laura,OBrien,laura.obrien@yahoo.com,(520) 555-1965,1959-11-13,M,SPT,active,2025-12-04,,hh_113,12000,1316,4160800,1
mbr_229,229,Heather,Fischer,heather.fischer@yahoo.com,(480) 555-3389,2000-03-20,F,SPT,active,2025-11-13,,hh_115,12000,2795,,1
mbr_232,232,Wei,Palmer,wei.palmer@icloud.com,(480) 555-4722,1985-10-28,F,SPT,active,2025-11-11,,hh_116,12000,2997,2384200,1
mbr_235,235,Raj,Jefferson,raj.jefferson@icloud.com,(480) 555-6213,1970-02-07,M,SPT,active,2025-03-10,,hh_118,12000,975,,1
mbr_237,237,Zara,Freeman,zara.freeman@outlook.com,(520) 555-5270,1979-12-03,F,SOC,active,2018-08-22,,hh_119,6000,2277,8139700,1
mbr_239,239,Evelyn,Dixon,evelyn.dixon@aol.com,(602) 555-4394,1967-10-09,F,FG,active,2016-08-06,,hh_120,18000,1355,8641900,1
mbr_242,242,Claire,Kirk,claire.kirk@aol.com,(602) 555-5728,1952-01-16,M,LEG,active,2018-12-04,,hh_121,22000,1557,1612000,0
mbr_244,244,Andre,Jett,andre.jett@gmail.com,(623) 555-1585,1961-11-12,M,SPT,active,2018-05-16,,hh_122,12000,635,,1
mbr_246,246,Lonnie,Thornton,lonnie.thornton@aol.com,(480) 555-9519,1969-02-08,M,SOC,active,2019-10-28,,hh_123,6000,1936,,1
mbr_248,248,Sven,Gutierrez,sven.gutierrez@aol.com,(623) 555-5376,1978-12-03,M,JR,active,2019-11-12,,hh_124,8000,-263,3118600,1
mbr_t05,505,Robert,Callahan,robert.c@email.com,(480) 555-0105,1968-11-30,M,CORP,active,2015-02-10,,hh_t05,18000,0,,1
mbr_005,5,Gary,Agarwal,gary.agarwal@aol.com,(602) 555-1254,1973-01-06,F,FG,active,2020-08-22,,hh_003,18000,700,4114900,1
mbr_007,7,Alexander,Moreau,alexander.moreau@gmail.com,(480) 555-5978,1982-11-01,F,FG,active,2020-01-06,,hh_004,18000,-222,4617100,1
mbr_250,250,Alexei,Reddy,alexei.reddy@gmail.com,(520) 555-4410,1987-10-27,M,FG,active,2016-04-23,,hh_125,18000,2316,3620800,1
mbr_253,253,Midori,Johansson,midori.johansson@gmail.com,(520) 555-5834,1951-01-17,F,FG,active,2019-08-22,,hh_127,18000,2518,5590900,1
mbr_255,255,Anita,Kuznetsov,anita.kuznetsov@yahoo.com,(602) 555-4890,1960-11-12,F,FG,active,2019-08-06,,hh_128,18000,1596,6093100,0
mbr_258,258,John,Hayes,john.hayes@yahoo.com,(623) 555-6381,2001-03-20,F,FG,active,2018-12-04,,hh_129,18000,1798,2346400,1
mbr_260,260,Steven,Graham,steven.graham@icloud.com,(480) 555-2048,1953-05-16,F,SPT,active,2019-05-16,,hh_130,12000,-402,2848600,1
mbr_262,262,Jacob,Garrison,jacob.garrison@yahoo.com,(623) 555-1172,1962-03-11,F,SOC,active,2017-06-28,,hh_131,6000,2177,,1
mbr_265,265,Patricia,Newton,patricia.newton@outlook.com,(623) 555-2596,1947-06-19,M,LEG,active,2019-10-26,,hh_133,22000,2379,5320900,1
mbr_268,268,Amanda,West,amanda.west@aol.com,(520) 555-4030,1968-10-09,F,LEG,active,2018-09-25,,hh_134,22000,357,,1
mbr_270,270,Pamela,Ulrich,pamela.ulrich@outlook.com,(520) 555-3087,1976-08-04,F,NR,active,2019-02-09,,hh_135,15000,1659,2076400,1
mbr_276,276,Fang,Chen,fang.chen@gmail.com,(480) 555-2612,1946-07-19,F,FG,active,2019-01-16,,hh_138,18000,-161,9299800,1
mbr_278,278,Anika,Thompson,anika.thompson@aol.com,(623) 555-1768,1955-05-15,M,FG,active,2015-06-28,,hh_139,18000,2418,,1
mbr_281,281,Ethan,Riley,ethan.riley@yahoo.com,(520) 555-3192,1976-08-05,F,FG,resigned,2019-10-26,2024-06-18,hh_141,18000,2620,6055300,1
mbr_282,282,Abigail,Volkov,abigail.volkov@gmail.com,(623) 555-5559,1952-01-16,M,SPT,resigned,2015-04-13,2024-12-04,hh_141,12000,1520,7523200,1
mbr_285,285,Lily,Cunningham,lily.cunningham@yahoo.com,(520) 555-6983,1993-04-24,F,SPT,resigned,2015-03-22,2024-12-13,hh_143,12000,2999,3776500,1
mbr_286,286,Savannah,Hawkins,savannah.hawkins@gmail.com,(602) 555-3650,1969-09-08,M,FG,resigned,2019-02-09,2025-10-28,hh_143,18000,1900,8527600,1
mbr_288,288,Clarence,Perry,clarence.perry@yahoo.com,(520) 555-8474,1978-12-03,M,SPT,resigned,2019-07-21,2025-03-12,hh_144,12000,-300,,1
mbr_289,289,Otis,Dalton,otis.dalton@icloud.com,(623) 555-5074,1954-05-15,F,FG,resigned,2015-02-18,2024-10-27,hh_145,18000,-122,,1
mbr_272,272,Carlos,Starr,carlos.starr@outlook.com,(602) 555-7821,1985-06-28,F,FG,active,2019-07-21,,hh_136,18000,737,,1
mbr_291,291,Ingrid,Zimmerman,ingrid.zimmerman@yahoo.com,(480) 555-9898,1963-03-11,F,JR,resigned,2015-07-19,2024-03-10,hh_146,8000,1180,5283100,1
mbr_292,292,Dmitri,Kemp,dmitri.kemp@outlook.com,(623) 555-6565,1995-08-23,M,FG,resigned,2015-01-16,2024-09-07,hh_146,18000,80,1034200,1
mbr_010,10,Dorothy,Bell,dorothy.bell@gmail.com,(480) 555-7412,1947-02-19,M,SOC,active,2019-12-04,,hh_005,6000,-20,9870400,1
mbr_011,11,Melissa,Mueller,melissa.mueller@gmail.com,(623) 555-4069,1979-07-03,F,JR,active,2021-06-01,,hh_006,8000,2381,5621500,1
mbr_012,12,Kathleen,Wentworth,kathleen.wentworth@yahoo.com,(623) 555-6436,1955-12-15,M,FG,active,2020-05-16,,hh_006,18000,1282,7089400,1
mbr_013,13,Emma,Long,emma.long@gmail.com,(480) 555-8836,1988-05-27,F,FG,active,2021-12-13,,hh_007,18000,1459,,1
mbr_015,15,Miguel,Maxwell,miguel.maxwell@yahoo.com,(520) 555-7960,1996-04-22,F,FG,active,2022-05-25,,hh_008,18000,2761,3342700,1
mbr_018,18,Lei,Weston,lei.weston@yahoo.com,(520) 555-9384,1981-11-02,F,FG,active,2021-04-23,,hh_009,18000,739,8596000,1
mbr_020,20,Sakura,Sutton,sakura.sutton@icloud.com,(602) 555-8351,1990-09-25,F,FG,active,2021-09-07,,hh_010,18000,2041,,1
mbr_022,22,Kwame,Quill,kwame.quill@yahoo.com,(623) 555-4175,1999-07-21,F,NR,active,2022-02-19,,hh_011,15000,-159,6317200,1
mbr_024,24,Lucas,Miles,lucas.miles@icloud.com,(480) 555-3241,1987-06-17,F,SOC,active,2022-07-20,,hh_012,6000,2420,,1
mbr_027,27,Connor,Yang,connor.yang@icloud.com,(480) 555-4632,1972-09-07,M,FG,active,2021-07-01,,hh_014,18000,2622,3072700,1
mbr_029,29,Audrey,Lancaster,audrey.lancaster@outlook.com,(623) 555-9489,1980-07-02,M,LEG,active,2022-12-13,,hh_015,22000,1700,3574900,1
mbr_031,31,Vernon,Kim,vernon.kim@aol.com,(520) 555-8423,1989-05-26,M,LEG,active,2022-05-15,,hh_016,22000,-499,,1
mbr_034,34,Astrid,Clark,astrid.clark@aol.com,(520) 555-9947,1974-01-05,F,FG,active,2021-04-23,,hh_017,18000,-297,6047200,1
mbr_036,36,Yuri,Romano,yuri.romano@gmail.com,(623) 555-8914,1983-11-01,F,FG,active,2022-09-07,,hh_018,18000,2281,,0
mbr_038,38,Naomi,Schneider,naomi.schneider@aol.com,(480) 555-4738,1971-09-25,F,SPT,active,2022-02-09,,hh_019,12000,82,7051600,1
mbr_040,40,Dong,Howard,dong.howard@gmail.com,(480) 555-3795,1980-07-03,M,LEG,active,2023-07-21,,hh_020,22000,2661,,1
mbr_204,204,Philippe,Foster,philippe.foster@outlook.com,(480) 555-7454,1961-04-12,F,FG,active,2021-09-07,,hh_102,18000,2895,5203000,1
mbr_294,294,Giulia,Ives,giulia.ives@icloud.com,(480) 555-2232,1948-06-19,M,FG,suspended,2015-06-28,,hh_147,18000,2659,7253200,1
mbr_172,172,James,Brennan,james.brennan@outlook.com,(623) 555-6337,1975-08-05,M,FG,active,2020-01-07,,hh_086,18000,2413,7017400,1
mbr_174,174,Mark,Sanders,mark.sanders@icloud.com,(480) 555-5461,1984-11-01,M,FG,active,2020-02-18,,hh_087,18000,1491,,1
mbr_176,176,Jeffrey,Brooks,jeffrey.brooks@icloud.com,(623) 555-1128,1992-09-24,M,FG,active,2021-07-02,,hh_088,18000,2793,8021800,1
mbr_179,179,Henry,Ramsey,henry.ramsey@outlook.com,(520) 555-2652,1977-12-04,F,FG,active,2020-11-01,,hh_090,18000,771,,1
mbr_299,299,Lakshmi,Odom,lakshmi.odom@outlook.com,(602) 555-2779,1977-08-04,M,FG,suspended,2015-10-10,,hh_150,18000,661,4008700,1
mbr_300,300,Ali,Beck,ali.beck@aol.com,(602) 555-5179,1953-01-16,F,FG,suspended,2016-09-25,,hh_150,18000,839,,1
mbr_180,180,Susan,Emerson,susan.emerson@aol.com,(602) 555-8219,1954-05-16,M,SOC,active,2019-05-26,,hh_090,6000,-329,,1
mbr_182,182,Michelle,Aldridge,michelle.aldridge@outlook.com,(520) 555-4043,1998-03-21,M,SOC,active,2019-10-27,,hh_091,6000,973,6245200,1
mbr_184,184,Anna,Wagner,anna.wagner@aol.com,(480) 555-3110,1951-01-17,M,SOC,active,2019-03-11,,hh_092,6000,51,,1
mbr_185,185,Katherine,Jacobs,katherine.jacobs@outlook.com,(480) 555-5467,1983-06-01,F,FG,active,2021-09-08,,hh_093,18000,2452,,1
mbr_187,187,Alejandro,Frost,alejandro.frost@aol.com,(623) 555-4534,1992-05-25,F,FG,active,2021-03-20,,hh_094,18000,253,3000700,0
mbr_188,188,Valentina,Sims,valentina.sims@gmail.com,(480) 555-6991,1968-02-08,M,FG,active,2020-01-07,,hh_094,18000,2654,7751800,1
mbr_190,190,Yan,Pike,yan.pike@aol.com,(623) 555-5925,1977-12-04,M,SOC,active,2021-02-19,,hh_095,6000,1732,,1
mbr_192,192,Priya,Whitfield,priya.whitfield@gmail.com,(520) 555-5081,1985-10-28,F,FG,active,2021-07-02,,hh_096,18000,-468,5473000,1
mbr_195,195,Noah,Watanabe,noah.watanabe@gmail.com,(520) 555-6415,1950-01-07,M,FG,active,2020-11-01,,hh_098,18000,1012,1726300,1
mbr_196,196,Harper,Williams,harper.williams@icloud.com,(520) 555-8872,1982-07-01,F,SOC,active,2022-05-16,,hh_098,6000,-88,,1
mbr_198,198,Nathan,Lefevre,nathan.lefevre@yahoo.com,(480) 555-4639,1991-05-25,F,FG,active,2022-10-27,,hh_099,18000,1214,6979600,1
mbr_199,199,Cooper,Kennedy,cooper.kennedy@icloud.com,(520) 555-1296,1967-10-09,M,SOC,active,2021-04-24,,hh_100,6000,114,8447500,0
mbr_201,201,Terrence,Ross,terrence.ross@yahoo.com,(480) 555-6030,1976-08-05,M,SOC,active,2021-10-08,,hh_101,6000,2693,,1
mbr_297,297,Eun,Ray,eun.ray@aol.com,(602) 555-3755,1968-10-08,F,FG,suspended,2019-05-27,,hh_149,18000,2861,3506500,1
mbr_205,205,Lars,Reynolds,lars.reynolds@icloud.com,(480) 555-4121,1993-09-24,M,FG,active,2022-08-22,,hh_103,18000,1795,9954100,0
mbr_207,207,Katya,Barton,katya.barton@outlook.com,(602) 555-8978,1946-07-20,M,SOC,active,2025-01-05,,hh_104,6000,873,,1
mbr_208,208,Luca,Mercer,luca.mercer@outlook.com,(602) 555-5545,1978-12-03,F,FG,active,2024-07-02,,hh_104,18000,-227,,1
mbr_210,210,Koji,Ingram,koji.ingram@outlook.com,(520) 555-1312,1966-10-09,F,FG,active,2024-12-04,,hh_105,18000,1075,3426400,1
mbr_212,212,Ravi,Gates,ravi.gates@aol.com,(520) 555-9436,1975-08-05,M,SOC,active,2025-05-16,,hh_106,6000,153,,0
mbr_214,214,Hassan,Cross,hassan.cross@outlook.com,(602) 555-8492,1984-06-01,M,FG,active,2025-10-28,,hh_107,18000,1454,4430800,1
mbr_215,215,Robert,Norwood,robert.norwood@gmail.com,(480) 555-1859,1960-11-12,F,SOC,active,2024-05-25,,hh_108,6000,355,9181900,1
mbr_216,216,Thomas,Boyd,thomas.boyd@aol.com,(480) 555-4226,1992-04-24,M,SOC,active,2025-03-11,,hh_108,6000,2756,4933000,1
mbr_218,218,Brian,Zook,brian.zook@gmail.com,(480) 555-3283,2001-07-20,M,SOC,active,2025-04-23,,hh_109,6000,1834,,0
mbr_220,220,Larry,Kensington,larry.kensington@yahoo.com,(623) 555-2317,1954-05-16,M,FG,active,2025-09-07,,hh_110,18000,-365,2654200,1
mbr_222,222,Mary,Nakamura,mary.nakamura@gmail.com,(480) 555-7174,1962-03-11,M,LEG,active,2024-02-19,,hh_111,22000,2213,3156400,1
mbr_224,224,Sandra,Young,sandra.young@gmail.com,(602) 555-6198,1951-01-17,M,SOC,active,2024-07-02,,hh_112,6000,14,,0
mbr_225,225,Carol,Lee,carol.lee@gmail.com,(602) 555-8598,1983-06-01,F,JR,active,2025-01-17,,hh_113,8000,2415,,1
mbr_227,227,Brenda,Bianchi,brenda.bianchi@yahoo.com,(623) 555-7532,1991-05-25,F,FG,active,2025-06-01,,hh_114,18000,216,,1
mbr_228,228,Christine,Cooper,christine.cooper@icloud.com,(602) 555-9989,1968-10-08,M,FG,active,2025-05-16,,hh_114,18000,394,,1
mbr_230,230,Diego,Remington,diego.remington@yahoo.com,(623) 555-9056,1976-08-04,F,FG,active,2025-10-28,,hh_115,18000,1695,1882000,0
mbr_231,231,Camila,Russell,camila.russell@icloud.com,(623) 555-2423,1953-05-16,M,FG,active,2025-05-25,,hh_116,18000,596,6633100,1
mbr_264,264,Frank,Compton,frank.compton@icloud.com,(623) 555-9239,1971-01-07,F,FG,active,2018-11-12,,hh_132,18000,-22,9569800,1
mbr_233,233,Lin,Knight,lin.knight@yahoo.com,(480) 555-1479,1961-03-12,M,FG,active,2025-10-26,,hh_117,18000,-327,7135300,1
mbr_234,234,Akira,Warner,akira.warner@icloud.com,(623) 555-3846,1994-08-24,F,FG,active,2025-04-23,,hh_117,18000,2075,,1
mbr_236,236,Sanjay,Underwood,sanjay.underwood@outlook.com,(480) 555-2813,1946-07-19,F,FG,active,2016-09-07,,hh_118,18000,-124,3388600,0
mbr_238,238,Oliver,Quinn,oliver.quinn@icloud.com,(602) 555-7637,1991-05-25,M,SPT,active,2017-02-19,,hh_119,12000,1177,3890800,1
mbr_240,240,Scarlett,Oliver,scarlett.oliver@outlook.com,(520) 555-6794,1999-03-21,M,SOC,active,2017-07-20,,hh_120,6000,255,,1
mbr_241,241,Caleb,Zane,caleb.zane@icloud.com,(602) 555-9161,1976-08-05,F,LEG,active,2016-01-17,,hh_121,22000,2656,,1
mbr_243,243,Aurora,Yoder,aurora.yoder@outlook.com,(520) 555-8185,1984-06-28,F,SPT,active,2016-06-01,,hh_122,12000,457,6363100,0
mbr_245,245,Maurice,Vine,maurice.vine@aol.com,(623) 555-7252,1993-09-24,F,JR,active,2017-12-13,,hh_123,8000,-465,,1
mbr_247,247,Colette,Wellington,colette.wellington@gmail.com,(623) 555-2919,1946-07-20,F,LEG,active,2017-05-15,,hh_124,22000,837,7367500,1
mbr_249,249,Sigrid,Zhang,sigrid.zhang@aol.com,(480) 555-2043,1954-05-15,F,FG,active,2018-10-26,,hh_125,18000,2138,7869700,0
mbr_251,251,Francesca,Walker,francesca.walker@gmail.com,(623) 555-6710,1963-03-11,F,JR,active,2018-03-10,,hh_126,8000,1216,,1
mbr_252,252,Hiroshi,Martin,hiroshi.martin@yahoo.com,(602) 555-3467,1975-08-23,M,FG,active,2017-09-07,,hh_126,18000,116,,1
mbr_254,254,Jae,Doyle,jae.doyle@gmail.com,(520) 555-8291,1984-06-01,M,SPT,active,2017-02-09,,hh_127,12000,1418,1342000,1
mbr_256,256,Ramesh,Hoffman,ramesh.hoffman@yahoo.com,(602) 555-7257,1992-04-24,M,FG,active,2018-07-20,,hh_128,18000,496,,1
mbr_257,257,Yasmin,Fitzgerald,yasmin.fitzgerald@icloud.com,(520) 555-9624,1969-09-08,F,SPT,active,2019-01-17,,hh_129,12000,2897,6595300,1
mbr_259,259,Christopher,Warren,christopher.warren@yahoo.com,(602) 555-8781,1977-12-04,M,SOC,active,2020-07-01,,hh_130,6000,698,7097500,1
mbr_261,261,George,Spencer,george.spencer@icloud.com,(623) 555-7715,1986-10-27,M,FG,active,2018-12-03,,hh_131,18000,-224,,1
mbr_263,263,Justin,Ryder,justin.ryder@outlook.com,(480) 555-3572,1994-08-23,M,SPT,active,2019-05-15,,hh_132,12000,1077,,1
mbr_266,266,Sarah,Adler,sarah.adler@outlook.com,(602) 555-4996,1959-12-03,F,SPT,active,2018-04-23,,hh_133,12000,1279,1072000,1
mbr_267,267,Ashley,Langston,ashley.langston@icloud.com,(520) 555-1663,1991-05-25,M,FG,active,2019-03-10,,hh_134,18000,1457,,1
mbr_269,269,Cynthia,Hart,cynthia.hart@outlook.com,(602) 555-6487,2000-03-20,M,FG,active,2019-03-22,,hh_135,18000,2759,,1
mbr_271,271,Debra,Glass,debra.glass@aol.com,(520) 555-5454,1953-01-16,M,SOC,active,2018-08-06,,hh_136,6000,559,,1
mbr_273,273,Fernando,Eden,fernando.eden@gmail.com,(480) 555-1278,1961-11-12,M,NR,active,2018-02-18,,hh_137,15000,-363,,1
mbr_274,274,Lucia,Pemberton,lucia.pemberton@aol.com,(520) 555-6878,1994-08-24,F,FG,active,2019-12-04,,hh_137,18000,2038,8797599,1
mbr_275,275,Jun,Crawford,jun.crawford@aol.com,(623) 555-9245,1970-02-07,M,FG,active,2018-07-19,,hh_138,18000,939,4548700,1
mbr_277,277,Hana,Sharma,hana.sharma@aol.com,(480) 555-8369,1979-12-03,M,FG,active,2019-12-03,,hh_139,18000,2240,5050900,1
mbr_279,279,Meera,Wilson,meera.wilson@gmail.com,(623) 555-4035,1987-10-27,F,SPT,active,2019-05-15,,hh_140,12000,1318,,1
mbr_280,280,Idris,Fontaine,idris.fontaine@gmail.com,(480) 555-9792,1964-03-11,M,LEG,active,2015-11-12,,hh_140,22000,219,1304199,1
mbr_283,283,Grace,Price,grace.price@gmail.com,(602) 555-2126,1984-06-28,F,FG,resigned,2019-10-10,2024-07-01,hh_142,18000,1698,3274300,1
mbr_284,284,Hunter,Wagner,hunter.wagner@yahoo.com,(520) 555-4583,1961-11-12,M,SOC,resigned,2019-09-25,2024-05-16,hh_142,6000,598,,1
mbr_287,287,Malik,Chambers,malik.chambers@icloud.com,(480) 555-6017,1946-02-20,F,SOC,resigned,2015-08-06,2024-05-25,hh_144,6000,800,4278700,1
mbr_290,290,Simone,Osborne,simone.osborne@icloud.com,(480) 555-7441,1986-10-27,M,SOC,resigned,2019-08-04,2024-04-24,hh_145,6000,2279,,1
mbr_293,293,Marina,Vernon,marina.vernon@icloud.com,(480) 555-8865,1971-01-07,F,SOC,suspended,2016-12-03,,hh_147,6000,2481,2502100,1
mbr_298,298,Suresh,Drake,suresh.drake@outlook.com,(520) 555-6022,2001-03-20,F,FG,suspended,2015-04-13,,hh_149,18000,1761,8257600,1
mbr_1774822789713_4,0,Edward,Anderson,edward.anderson@email.com,(905) 662-5567,,,SPT,active,2019-11-06,,,13020,0,,1
mbr_1774822789719_5,0,Cynthia,Murphy,cynthia.murphy@email.com,(761) 260-3836,,,JR,active,2022-01-08,,,5919,0,,1
mbr_1774822789728_6,0,Ashley,Henderson,ashley.henderson@email.com,(896) 587-6487,,,JR,active,2022-11-13,,,7248,0,,1
mbr_1774822789734_7,0,Christopher,Anderson,christopher.anderson@email.com,(576) 242-2920,,,SOC,active,2020-11-11,,,11426,0,,1
mbr_1774822789750_8,0,Laura,Mitchell,laura.mitchell@email.com,(911) 508-2073,,,FG,active,2020-02-27,,,20740,0,,1
mbr_1774822789769_10,0,Brian,Cooper,brian.cooper@email.com,(537) 239-5181,,,SPT,active,2020-12-07,,,10462,0,,1
mbr_1774822789774_11,0,George,Simmons,george.simmons@email.com,(711) 255-4411,,,JR,active,2019-11-07,,,6438,0,,1
mbr_1774822789668_0,0,Michael,Cooper,michael.cooper@email.com,(616) 837-8648,,,SOC,active,2023-07-30,,,11361,0,,1
mbr_1774822789689_1,0,Mark,Wells,mark.wells@email.com,(318) 956-9507,,,SPT,active,2021-03-02,,,10121,0,,1
mbr_1774822789696_2,0,Lisa,Anderson,lisa.anderson@email.com,(749) 872-7965,,,SPT,active,2024-04-25,,,10124,0,,1
mbr_1774822789707_3,0,Edward,Murphy,edward.murphy@email.com,(993) 309-2607,,,FG,active,2020-09-03,,,24590,0,,1
mbr_1774822789756_9,0,Sarah,Ward,sarah.ward@email.com,(923) 838-9815,,,SOC,active,2024-10-30,,,11772,0,,1
mbr_1774822789788_12,0,David,Mitchell,david.mitchell@email.com,(796) 680-6301,,,NR,active,2021-07-16,,,7777,0,,1
mbr_1774822789793_13,0,Joseph,Simmons,joseph.simmons@email.com,(695) 885-7782,,,FG,active,2021-02-02,,,18446,0,,1
mbr_1774822789798_14,0,Carol,Whitfield,carol.whitfield@email.com,(700) 610-3925,,,SOC,active,2025-09-12,,,8294,0,,1
mbr_1774822789812_15,0,Betty,Anderson,betty.anderson@email.com,(692) 702-9478,,,SOC,active,2024-07-06,,,11650,0,,1
mbr_1774822789817_16,0,Betty,Morgan,betty.morgan@email.com,(872) 587-2916,,,SPT,active,2020-05-28,,,11556,0,,1
mbr_1774822789828_17,0,Christopher,Wells,christopher.wells@email.com,(786) 558-8777,,,FG,active,2023-02-12,,,17831,0,,1
mbr_1774822789834_18,0,Elizabeth,Simmons,elizabeth.simmons@email.com,(673) 617-2214,,,JR,active,2019-11-25,,,7817,0,,1
mbr_1774822789848_19,0,Steven,Kim,steven.kim@email.com,(328) 298-5451,,,JR,active,2019-12-17,,,5337,0,,1
mbr_1774823550465_0,0,Sarah,Park,sarah.park@email.com,(492) 522-8204,,,FG,active,2020-08-06,,,16216,0,,1
mbr_1774823550488_1,0,Jennifer,Wells,jennifer.wells@email.com,(754) 978-5185,,,NR,active,2019-12-22,,,9972,0,,1
mbr_1774823550495_2,0,George,Cooper,george.cooper@email.com,(836) 730-1100,,,JR,active,2019-01-02,,,7529,0,,1
mbr_1774823550502_3,0,Laura,Coleman,laura.coleman@email.com,(296) 972-4502,,,FG,active,2020-03-05,,,20452,0,,1
mbr_1774823550509_4,0,Linda,Reed,linda.reed@email.com,(451) 206-1304,,,NR,active,2019-11-30,,,8781,0,,1
mbr_1774823550522_5,0,Karen,Kim,karen.kim@email.com,(491) 403-3178,,,SPT,active,2020-07-26,,,11119,0,,1
mbr_1774823550529_6,0,Thomas,Anderson,thomas.anderson@email.com,(862) 849-7256,,,SOC,active,2018-07-04,,,10909,0,,1
mbr_1774823550542_7,0,Ruth,Santos,ruth.santos@email.com,(581) 724-1546,,,SPT,active,2022-05-29,,,13498,0,,1
mbr_1774823550552_8,0,Jennifer,Torres,jennifer.torres@email.com,(887) 621-2264,,,JR,active,2019-08-06,,,7057,0,,1
mbr_1774823550558_9,0,Nancy,Santos,nancy.santos@email.com,(849) 473-5399,,,FG,active,2021-03-18,,,15670,0,,1
mbr_1774823550570_10,0,Timothy,Price,timothy.price@email.com,(856) 992-1192,,,FG,active,2020-03-23,,,16215,0,,1
mbr_1774823550576_11,0,Susan,Russell,susan.russell@email.com,(293) 806-2607,,,JR,active,2021-06-01,,,5755,0,,1
mbr_1774823550583_12,0,Dorothy,Henderson,dorothy.henderson@email.com,(415) 798-3273,,,JR,active,2025-01-28,,,7584,0,,1
mbr_1774823550588_13,0,Jennifer,Bailey,jennifer.bailey@email.com,(763) 628-6889,,,JR,active,2019-06-08,,,6976,0,,1
mbr_1774823550593_14,0,Edward,Henderson,edward.henderson@email.com,(985) 642-9211,,,FG,active,2022-04-17,,,17626,0,,1
mbr_1774823550603_15,0,Ruth,Henderson,ruth.henderson@email.com,(347) 751-1039,,,JR,active,2023-01-30,,,6847,0,,1
mbr_1774823550609_16,0,Donna,Ward,donna.ward@email.com,(878) 437-5099,,,NR,active,2023-03-08,,,7070,0,,1
mbr_1774823550614_17,0,Mark,Ward,mark.ward@email.com,(255) 900-8042,,,JR,active,2025-05-08,,,7004,0,,1
mbr_1774823550618_18,0,Margaret,Fox,margaret.fox@email.com,(958) 718-5439,,,SOC,active,2022-05-17,,,10659,0,,1
mbr_1774823550623_19,0,Timothy,Crawford,timothy.crawford@email.com,(940) 601-9672,,,SOC,active,2020-06-07,,,9621,0,,1
mbr_1774823550628_20,0,Nancy,Brooks,nancy.brooks@email.com,(940) 323-9376,,,JR,active,2022-09-29,,,5781,0,,1
mbr_1774823550633_21,0,Robert,Crawford,robert.crawford@email.com,(844) 529-1536,,,SPT,active,2024-04-08,,,10735,0,,1
mbr_1774823550637_22,0,George,Lane,george.lane@email.com,(846) 287-1671,,,SPT,active,2023-02-05,,,13341,0,,1
mbr_1774823550642_23,0,Susan,Murphy,susan.murphy@email.com,(591) 253-7240,,,FG,active,2020-09-18,,,21964,0,,1
mbr_1774823550646_24,0,Mark,Park,mark.park@email.com,(961) 842-9778,,,SPT,active,2018-11-12,,,10933,0,,1
mbr_1774823550651_25,0,Patricia,Bell,patricia.bell@email.com,(881) 930-3302,,,FG,active,2019-11-11,,,21651,0,,1
mbr_1774823550656_26,0,Matthew,Russell,matthew.russell@email.com,(249) 336-9527,,,NR,active,2024-04-13,,,6885,0,,1
mbr_1774823550662_27,0,Sharon,Russell,sharon.russell@email.com,(959) 952-4318,,,SPT,active,2018-05-26,,,11642,0,,1
mbr_1774823550666_28,0,Brian,Bell,brian.bell@email.com,(226) 684-9194,,,JR,active,2021-06-03,,,6559,0,,1
mbr_1774823550671_29,0,Sandra,Whitfield,sandra.whitfield@email.com,(533) 442-4569,,,FG,active,2018-08-11,,,18356,0,,1
mbr_1774823550676_30,0,Andrew,Henderson,andrew.henderson@email.com,(275) 629-6862,,,NR,active,2021-12-16,,,6646,0,,1
mbr_1774823550681_31,0,Matthew,Crawford,matthew.crawford@email.com,(875) 856-2503,,,SPT,active,2021-12-31,,,12586,0,,1
mbr_1774823550686_32,0,Steven,Fox,steven.fox@email.com,(705) 247-8534,,,JR,active,2021-07-30,,,6819,0,,1
mbr_1774823550691_33,0,Sarah,Simmons,sarah.simmons@email.com,(315) 273-4699,,,FG,active,2024-01-24,,,24144,0,,1
mbr_1774823550696_34,0,Timothy,Bell,timothy.bell@email.com,(225) 502-2150,,,JR,active,2025-04-29,,,6047,0,,1
mbr_1774823550701_35,0,Mark,Hart,mark.hart@email.com,(703) 649-7993,,,SOC,active,2023-04-08,,,8369,0,,1
mbr_1774823550705_36,0,Christopher,Murphy,christopher.murphy@email.com,(767) 457-7464,,,SPT,active,2023-01-22,,,17462,0,,1
mbr_1774823550710_37,0,Linda,Lane,linda.lane@email.com,(417) 602-2090,,,SPT,active,2021-10-19,,,13728,0,,1
